currency;code;bid;ask
dolar amerykański;USD;3.9685;4.0487
dolar australijski;AUD;2.8614;2.9192
dolar kanadyjski;CAD;3.1167;3.1797
euro;EUR;4.5027;4.5937
forint (Węgry);HUF;0.012668;0.012924
frank szwajcarski;CHF;4.3111;4.3981
funt szterling;GBP;5.3748;5.4834
jen (Japonia);JPY;0.034437;0.035133
korona czeska;CZK;0.1838;0.1876
korona duńska;DKK;0.6053;0.6175
korona norweska;NOK;0.4461;0.4551
korona szwedzka;SEK;0.4253;0.4339
SDR (MFW);XDR;5.565;5.6774
